entry,part_of_speech,korean_meaning,example_sentence
abate,v.,(양·강도가) 줄어들다,"The storm suddenly abated, allowing the rescue teams to continue their work."
aberration,n.,"일탈, 이상 현상",The test results showed an aberration that could not be ignored by the research team.
absolve,v.,"무죄를 선고하다, 책임을 면하다",The evidence absolved her from any wrongdoing in the financial scandal.
abstruse,adj.,"난해한, 심오한",The professor’s lectures were so abstruse that many students found them incomprehensible.
accolade,n.,"영예, 찬사, 상",She received a Grammy as an accolade for her outstanding musical performance.
acrimonious,adj.,"신랄한, 악다구니의",Their divorce was an acrimonious battle over assets and custody rights.
acrimony,n.,"악감정, 신랄함",The debate ended with acrimony on both sides of the political spectrum.
admonish,v.,"훈계하다, 꾸짖다",The teacher admonished the students for being late to the important examination.
alacrity,n.,"민첩함, 선뜻 응함","She accepted the invitation with alacrity, eager to attend the prestigious conference."
allude,v.,"암시하다, 넌지시 말하다",He alluded to his past struggles without giving specific details about his experiences.
altruistic,adj.,이타적인,His altruistic nature led him to work in charities throughout his career.
ambiguous,adj.,"모호한, 다의적인",The ambiguous instructions caused confusion among the project team members.
ameliorate,v.,"개선하다, 완화하다",New policies were introduced to ameliorate the difficult economic situation.
amiable,adj.,"상냥한, 우호적인","He was an amiable host, making everyone feel welcome at the gathering."
analogous,adj.,"유사한, 비슷한",Her situation was analogous to mine last year when I faced similar challenges.
anachronistic,adj.,시대착오적인,The historical drama was criticized for its anachronistic costumes and dialogue.
animosity,n.,"적대감, 원한",There was clear animosity between the two rival political candidates.
apathetic,adj.,"무관심한, 냉담한",The students were apathetic about the upcoming elections and voter registration.
apprehensive,adj.,"걱정하는, 염려하는",She was apprehensive about moving to a new city for her job.
arbitrary,adj.,"자의적인, 임의의",The rules seemed arbitrary and unfair to the competition participants.
arduous,adj.,"고된, 힘든",Climbing the mountain was an arduous task that tested their endurance.
assiduous,adj.,"근면한, 꾸준한","She was assiduous in her studies, never missing a single class or assignment."
austere,adj.,엄격한; 꾸밈없는,The austere teacher was known for her no-nonsense approach to education.
axiomatic,adj.,"자명한, 불문율의",It’s axiomatic that all living things need water to survive and thrive.
banal,adj.,"진부한, 따분한","The movie’s plot was banal and predictable, disappointing critics and audiences alike."
belie,v.,"모순되다, ~와 다르다",His calm manner belied the anxiety he was feeling about the presentation.
benevolent,adj.,"자애로운, 자비로운",The benevolent donor contributed a large sum to the charity organization.
boisterous,adj.,"시끌벅적한, 활기찬",The boisterous crowd cheered their team to victory in the championship game.
bombastic,adj.,"과장된, 허풍스러운",The politician’s speech was filled with bombastic rhetoric that didn’t address real issues.
cacophony,n.,"불협화음, 소음","The construction site next door was a cacophony of drilling, hammering, and shouting."
capricious,adj.,변덕스러운,Her capricious decisions often left her friends bewildered and confused.
circumspect,adj.,"신중한, 용의주도한","He was circumspect in his financial dealings, always seeking expert advice."
clandestine,adj.,"비밀리에 하는, 은밀한",Their clandestine meetings went unnoticed for months by intelligence agencies.
coalesce,v.,"합치다, 연합하다",The various factions coalesced to form a united front against the opposition.
conundrum,n.,"난제, 수수께끼",Solving this math problem was a conundrum that took hours to figure out.
debunk,v.,(거짓을) 폭로하다,The scientist debunked the myth with solid evidence and rigorous research.
deleterious,adj.,해로운,The deleterious effects of smoking are well-documented in medical literature.
diaphanous,adj.,"비치는, 아주 얇은",She wore a diaphanous gown that fluttered gracefully in the evening breeze.
disparage,v.,"폄하하다, 깎아내리다",The critic’s review disparaged the movie as being cliché and unoriginal.
egregious,adj.,"지독한, 터무니없는",The company’s egregious disregard for safety regulations was alarming to inspectors.
enervate,v.,기력을 떨어뜨리다,The hot sun enervated the marathon runners during the summer competition.
enigma,n.,수수께끼 같은 것(사람),The disappearance of the plane remains an enigma to investigators worldwide.
ephemeral,adj.,"순식간의, 덧없는",The beauty of cherry blossoms is ephemeral and only lasts for a few days.
equanimity,n.,"평정, 침착",The surgeon maintained her equanimity throughout the lengthy and complex operation.
esoteric,adj.,"난해한, 소수만 이해하는",The lecture was on an esoteric subject that few could grasp without background knowledge.
fastidious,adj.,"꼼꼼한, 까다로운","She was fastidious about her appearance, always ensuring she looked perfect."
furtive,adj.,"은밀한, 남몰래 하는",The spy’s furtive movements were captured on video by surveillance cameras.
garrulous,adj.,수다스러운,The garrulous old man bored everyone with his endless stories about the past.
genuflect,v.,(경의로) 무릎을 꿇다,"When entering the church, many people will genuflect and cross themselves."
gregarious,adj.,사교적인,She was a gregarious person who loved hosting parties and social gatherings.
harangue,n.,공격적이고 긴 연설,The politician’s harangue was met with mixed reactions from the audience.
harbinger,n.,"전조, 징조",The first snowfall of the year is often seen as a harbinger of winter.
iconoclast,n.,"우상 파괴자, 관습 타파자","The artist was an iconoclast, always challenging the status quo in society."
idiosyncratic,adj.,"개성적인, 특이한",His idiosyncratic habits made him a unique character in the office.
impertinent,adj.,"무례한, 부적절한",The student’s impertinent remarks angered the teacher during the lecture.
ineffable,adj.,말로 표현할 수 없는,"The beauty of the landscape was ineffable, beyond any description."
inscrutable,adj.,헤아리기 어려운,The politician’s motives were inscrutable and no one knew his true intentions.
insidious,adj.,"서서히 퍼지는, 잠행성의","The disease was insidious, spreading without any obvious symptoms initially."
intransigent,adj.,비타협적인,The intransigent leader refused to compromise on any of his demands.
juxtapose,v.,"병치하다, 나란히 두다",The artist juxtaposed light and dark colors to create a striking visual impact.
laconic,adj.,"간결한, 말이 적은",His laconic reply suggested he was not interested in continuing the conversation.
languid,adj.,"나른한, 힘없는",The heat made everyone feel languid and lethargic during the afternoon.
magnanimous,adj.,"도량이 큰, 관대한","He was magnanimous in victory, praising his opponent’s efforts and sportsmanship."
misanthrope,n.,인간혐오자,The old hermit was a misanthrope who shunned all company and social interaction.
myriad,n.,"무수함, 무수한 사람/것",The city had a myriad of restaurants to choose from for dining.
nefarious,adj.,"사악한, 범죄의",The nefarious plot of the villains was to take over the world.
obfuscate,v.,"모호하게 만들다, 혼란스럽게 하다",The bureaucratic jargon only served to obfuscate the issue further.
obsequious,adj.,"아부하는, 비굴한",His obsequious behavior made him unpopular with his peers at work.
ostentatious,adj.,"과시하는, 허세부리는",Her ostentatious outfit drew everyone’s attention at the formal event.
panacea,n.,만병통치약,There is no panacea for all of life’s problems and challenges.
